Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
Temoa,nz,AB,Activity|transportation|T_H2_distribution,?,1.111515191,1.154515813,1.155756034,1.112795028,1.119648938,1.145355426
Temoa,nz,AB,Activity|transportation|T_HDV_AJF_JFL_EX,?,0.095134328,0.083603946,0.059246064,0.028417953,,
Temoa,nz,AB,Activity|transportation|T_HDV_AJF_JFL_N,?,0.301886094,0.358916524,0.417416358,0.482580609,0.544828138,0.583402985
Temoa,nz,AB,Activity|transportation|T_HDV_AJP_JFL_EX,?,10.34123537,8.824359729,5.570253602,1.95437476,,
Temoa,nz,AB,Activity|transportation|T_HDV_AJP_JFL_N,?,21.988677,27.16246197,33.19331762,39.60183589,44.30780308,47.44461416
Temoa,nz,AB,Activity|transportation|T_HDV_BIC_DSL_EX,?,0.105880692,0.046950692,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BIC_FCEV_N,?,0.725600087,0.884842077,1.012032766,1.084946929,1.156786063,1.238659761
Temoa,nz,AB,Activity|transportation|T_HDV_BIC_GSL_EX,?,0.012624975,0.007203287,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BS_BEV_N,?,,0.647394828,3.64756839,7.326910625,7.980349484,8.623328128
Temoa,nz,AB,Activity|transportation|T_HDV_BS_CNG_EX,?,0.293461716,0.123971559,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BS_DSL_EX,?,0.983779596,0.374322786,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BS_FCHEV_N,?,4.522487174,5.359368329,3.404205894,0.232936153,0.080069973,0.007179893
Temoa,nz,AB,Activity|transportation|T_HDV_BS_GSL_EX,?,0.081637118,0.041580149,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BT_BEV_EX,?,0.141205072,0.07080435,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BT_BEV_N,?,2.900685627,3.698750217,4.335795063,4.648154427,4.955927389,5.306792851
Temoa,nz,AB,Activity|transportation|T_HDV_BT_CNG_EX,?,0.04897945,0.018642797,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BT_DSL_EX,?,0.519592217,0.233435751,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_BT_GSL_EX,?,0.005084629,0.002233574,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_CHRG,?,16.38731298,21.91979111,29.0173292,37.89062995,38.69216459,39.74546089
Temoa,nz,AB,Activity|transportation|T_HDV_RF_DSL_EX,?,0.000256467,,,,,
Temoa,nz,AB,Activity|transportation|T_HDV_RF_H2_N,?,,,,2.396975553,2.396974421,2.39697204
Temoa,nz,AB,Activity|transportation|T_HDV_RF_LNG_N,?,123.9198572,137.9391995,148.5810275,156.8883991,167.4350338,179.4579265
Temoa,nz,AB,Activity|transportation|T_HDV_RICP_DSL_EX,?,0.438005524,0.486117253,0.121724347,,,
Temoa,nz,AB,Activity|transportation|T_HDV_RICP_H2_N,?,,,0.402018074,0.561254115,0.598848545,0.641354747
Temoa,nz,AB,Activity|transportation|T_HDV_T_BEV_N,?,24.70808221,41.36519278,61.65870747,85.15785231,90.79660583,97.22463066
Temoa,nz,AB,Activity|transportation|T_HDV_T_DSL_EX,?,41.54311152,32.3797774,17.77639202,,,
Temoa,nz,AB,Activity|transportation|T_HDV_WTF_HFO_EX,?,0.999892622,0.999628359,0.105337581,,,
Temoa,nz,AB,Activity|transportation|T_HDV_WTF_LNG_N,?,,,0.894255067,0.999482378,0.999474122,0.999453725
Temoa,nz,AB,Activity|transportation|T_I_H2_ELC_ALK,?,,0.007190244,0.00540009,0.007574281,0.012861616,0.047110869
Temoa,nz,AB,Activity|transportation|T_I_H2_ELC_PEM,?,,0.003386969,0.002273857,0.004875837,0.011477793,1.0907703
Temoa,nz,AB,Activity|transportation|T_I_H2_SMR_CCS,?,1.111205751,1.139613464,1.139541935,1.089811913,1.087211638,
Temoa,nz,AB,Activity|transportation|T_LDV_BEV_CHRG,?,0.117493956,0.883101037,4.813430016,31.80455389,37.13151888,41.14509162
Temoa,nz,AB,Activity|transportation|T_LDV_C_BEV150_EX,?,0.049217971,0.040743288,,,,
Temoa,nz,AB,Activity|transportation|T_LDV_C_BEV150_N,?,,0.13946677,0.981966728,3.145640342,3.40903499,3.687493636
Temoa,nz,AB,Activity|transportation|T_LDV_C_BEV200_N,?,,0.278934099,1.963934318,6.291282708,6.81807177,7.374989443
Temoa,nz,AB,Activity|transportation|T_LDV_C_BEV300_N,?,,0.418401259,2.945902679,9.436924883,10.22710856,11.06248533
Temoa,nz,AB,Activity|transportation|T_LDV_C_BEV400_N,?,,0.557868706,3.927871169,12.58256706,13.63614557,14.74998138
Temoa,nz,AB,Activity|transportation|T_LDV_C_DSL_EX,?,0.044143149,0.003085514,,,,
Temoa,nz,AB,Activity|transportation|T_LDV_C_GSL_EX,?,3.202689337,1.726246409,,,,
Temoa,nz,AB,Activity|transportation|T_LDV_C_GSL_HEV_EX,?,0.088576841,0.05216567,,,,
Temoa,nz,AB,Activity|transportation|T_LDV_C_GSL_PHEV35_EX,?,0.030574611,0.024921208,,,,
Temoa,nz,AB,Activity|transportation|T_LDV_C_GSL_PHEV35_N,?,21.72765854,24.74400492,20.32671291,0.861833021,0.367811525,0.022713462
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_BEV150_N,?,,,,0.426162828,0.442287507,0.459020435
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_BEV200_N,?,,,,0.852327033,0.884576534,0.91804361
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_BEV300_N,?,,,,1.278491213,1.326865614,1.377066933
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_BEV400_N,?,,,,1.704655433,1.769155087,1.836089495
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_DSL_EX,?,0.197380728,0.161822068,0.029918519,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_GSL_EX,?,2.346171667,1.714403945,0.306784112,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_GSL_PHEV35_EX,?,0.000594112,0.001912865,,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_GSL_PHEV35_N,?,3.999791998,5.235564347,7.300357807,3.933589507,2.467754313,0.670821623
Temoa,nz,AB,Activity|transportation|T_LDV_LTF_GSL_PHEV50_N,?,,0.171944604,0.211386185,0.21938216,2.081133024,4.345893778
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_BEV150_N,?,,,0.070910505,2.878990771,4.099861401,5.076258573
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_BEV200_N,?,,,0.141823894,5.757986454,8.199728848,10.15252568
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_BEV300_EX,?,0.020442903,0.020728619,0.003521337,,,
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_BEV300_N,?,,,0.212737231,8.636983018,12.29959613,15.22879552
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_BEV400_N,?,,,0.283650514,11.51597916,16.3994643,20.30506029
Temoa,nz,AB,Activity|transportation|T_LDV_LTP_DSL_EX,?,0.323432892,0.206318488,0.032837009,,,
